Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/predict,1152,0,1800.0,3901.5254282490882,135.44817100046203,21649.209877999965,176.79513888888889,9.637976039679966,0.0,1800,3700,5100,6500,12000,14000,17000,20000,21000,22000,22000
GET,/api/status,128,0,3400.0,5799.35401455441,11.182930989889428,22411.39297898917,427.7421875,1.0708862266311074,0.0,3700,5700,9000,12000,16000,21000,22000,22000,22000,22000,22000
,Aggregated,1280,0,1900.0,4091.3082868796178,11.182930989889428,22411.39297898917,201.88984375,10.708862266311074,0.0,1900,3900,5400,6800,13000,15000,18000,20000,22000,22000,22000
