Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/predict,881,0,4900.0,5439.465677508596,1133.038697997108,16985.81609899702,176.35300794551645,7.395938410536326,0.0,4900,5100,5300,5400,7600,12000,17000,17000,17000,17000,17000
GET,/api/status,94,0,5200.0,5617.514675116678,1422.3792589909863,17247.362940004678,424.75531914893617,0.7891239620776557,0.0,5200,5400,5500,5600,6900,14000,17000,17000,17000,17000,17000
,Aggregated,975,0,5000.0,5456.631427021583,1133.038697997108,17247.362940004678,200.30153846153846,8.18506237261398,0.0,5000,5100,5300,5400,7600,12000,17000,17000,17000,17000,17000
